ensembl_gene_id	hgnc_symbol	TPM
ENSG00000053770	AP5M1	747
ENSG00000125843	AP5S1	100
ENSG00000242802	AP5Z1	190
ENSG00000120868	APAF1	250
ENSG00000011132	APBA3	104
ENSG00000166313	APBB1	97
ENSG00000077420	APBB1IP	503
ENSG00000163697	APBB2	95
ENSG00000113108	APBB3	28
ENSG00000134982	APC	661
ENSG00000154856	APCDD1	1
ENSG00000164062	APEH	563
ENSG00000100823	APEX1	502
ENSG00000169188	APEX2	38
ENSG00000117362	APH1A	177
ENSG00000138613	APH1B	262
ENSG00000166181	API5	639
ENSG00000149089	APIP	452
ENSG00000169621	APLF	214
ENSG00000134817	APLNR	228
ENSG00000084234	APLP2	2389
ENSG00000101474	APMAP	889
ENSG00000118137	APOA1	15
ENSG00000124701	APOBEC2	41
ENSG00000179750	APOBEC3B	439
ENSG00000244509	APOBEC3C	1335
ENSG00000243811	APOBEC3D	17
ENSG00000128394	APOBEC3F	123
ENSG00000239713	APOBEC3G	88
ENSG00000184730	APOBR	0
ENSG00000130208	APOC1	0
ENSG00000130203	APOE	5
ENSG00000100342	APOL1	112
ENSG00000128335	APOL2	309
ENSG00000128284	APOL3	425
ENSG00000100336	APOL4	414
ENSG00000221963	APOL6	365
ENSG00000178878	APOLD1	601
ENSG00000184831	APOO	216
ENSG00000155008	APOOL	272
ENSG00000142192	APP	501
ENSG00000062725	APPBP2	439
ENSG00000157500	APPL1	1351
ENSG00000136044	APPL2	761
ENSG00000198931	APRT	1079
ENSG00000137074	APTX	52
ENSG00000240583	AQP1	0
ENSG00000178301	AQP11	2
ENSG00000021776	AQR	1320
ENSG00000078061	ARAF	287
ENSG00000186635	ARAP1	194
ENSG00000047365	ARAP2	1849
ENSG00000095139	ARCN1	858
ENSG00000109321	AREG	19891
ENSG00000119682	AREL1	351
ENSG00000143761	ARF1	2696
ENSG00000134287	ARF3	751
ENSG00000168374	ARF4	795
ENSG00000004059	ARF5	843
ENSG00000165527	ARF6	1423
ENSG00000101199	ARFGAP1	237
ENSG00000149182	ARFGAP2	622
ENSG00000242247	ARFGAP3	189
ENSG00000066777	ARFGEF1	1458
ENSG00000124198	ARFGEF2	1394
ENSG00000112379	ARFGEF3	5
ENSG00000164144	ARFIP1	29
ENSG00000132254	ARFIP2	869
ENSG00000101246	ARFRP1	195
ENSG00000118520	ARG1	0
ENSG00000081181	ARG2	322
ENSG00000134884	ARGLU1	4464
ENSG00000175220	ARHGAP1	611
ENSG00000071205	ARHGAP10	186
ENSG00000198826	ARHGAP11A	640
ENSG00000285077	ARHGAP11B	118
ENSG00000165322	ARHGAP12	519
ENSG00000075884	ARHGAP15	2540
ENSG00000140750	ARHGAP17	435
ENSG00000146376	ARHGAP18	33
ENSG00000213390	ARHGAP19	435
ENSG00000269891	ARHGAP19-SLIT1	6
ENSG00000137727	ARHGAP20	325
ENSG00000107863	ARHGAP21	349
ENSG00000128805	ARHGAP22	610
ENSG00000275832	ARHGAP23	67
ENSG00000138639	ARHGAP24	0
ENSG00000163219	ARHGAP25	374
ENSG00000145819	ARHGAP26	348
ENSG00000276907	ARHGAP27	740
ENSG00000088756	ARHGAP28	23
ENSG00000137962	ARHGAP29	566
ENSG00000186517	ARHGAP30	498
ENSG00000031081	ARHGAP31	153
ENSG00000134909	ARHGAP32	120
ENSG00000004777	ARHGAP33	237
ENSG00000160007	ARHGAP35	829
ENSG00000089820	ARHGAP4	786
ENSG00000165895	ARHGAP42	0
ENSG00000006740	ARHGAP44	5
ENSG00000100852	ARHGAP5	1323
ENSG00000047648	ARHGAP6	84
ENSG00000123329	ARHGAP9	421
ENSG00000141522	ARHGDIA	427
ENSG00000111348	ARHGDIB	12222
ENSG00000076928	ARHGEF1	472
ENSG00000104728	ARHGEF10	85
ENSG00000132694	ARHGEF11	77
ENSG00000196914	ARHGEF12	698
ENSG00000110237	ARHGEF17	267
ENSG00000104880	ARHGEF18	11
ENSG00000142632	ARHGEF19	88
